ScientificNameBT,CommonNameBT
Chlidonias niger,Black Tern
Emberiza cia,Rock Bunting
Pachycephala grisola,Mangrove Whistler
Turdus unicolor,Tickell's Thrush
Vireo flavoviridis,Yellow-green Vireo
Pyrrhura cruentata,Blue-throated Parakeet
Falco peregrinus,Peregrine Falcon
Falco pelegrinoides,Barbary Falcon
Carduelis tristis,American Goldfinch
Campephilus pollens,Powerful Woodpecker
Francolinus icterorhynchus,Heuglin's Francolin
Picumnus aurifrons,Bar-breasted Piculet
Lepidothrix coronata,Blue-crowned Manakin
Celeus spectabilis,Rufous-headed Woodpecker
Leucosticte brandti,Black-headed Mountain-finch
Francolinus bicalcaratus,Double-spurred Francolin
Garrulax leucolophus,White-crested Laughingthrush
Compsospiza garleppi,Cochabamba Mountain-finch
Compsospiza baeri,Tucuman Mountain-finch
Euplectes macroura,Yellow-shouldered Widowbird
Pycnonotus barbatus,Common Bulbul
Anairetes fernandezianus,Juan Fernandez Tit-tyrant
Cisticola cantans,Singing Cisticola
Pachycephala griseonota,Drab Whistler
Piculus litae,Lita Woodpecker
Dryocopus pileatus,Pileated Woodpecker
Monticola imerinus,Littoral Rock-thrush
Anairetes parulus,Tufted Tit-tyrant
Coracina schistacea,Slaty Cuckooshrike
Garrulax milleti,Black-hooded Laughingthrush
Dendroica coronata,Yellow-rumped Warbler
Agriornis lividus,Great Shrike-tyrant
Oporornis agilis,Connecticut Warbler
Piculus callopterus,Stripe-cheeked Woodpecker
Francolinus squamatus,Scaly Francolin
Turdus rufiventris,Rufous-bellied Thrush
Metallura iracunda,Perija Metaltail
Cyanocorax cayanus,Cayenne Jay
Garrulax chinensis,Black-throated Laughingthrush
Thamnophilus aethiops,White-shouldered Antshrike
Piculus simplex,Rufous-winged Woodpecker
Elaenia frantzii,Mountain Elaenia
Thamnophilus aroyae,Upland Antshrike
Ammodramus maritimus,Seaside Sparrow
Elaenia albiceps,White-crested Elaenia
Herpsilochmus pectoralis,Pectoral Antwren
Veniliornis cassini,Golden-collared Woodpecker
Herpsilochmus sellowi,Caatinga Antwren
Piculus aurulentus,White-browed Woodpecker
Knipolegus signatus,Andean Tyrant
Rhynchostruthus socotranus,Socotra Grosbeak
Pionus senilis,White-crowned Parrot
Pionus chalcopterus,Bronze-winged Parrot
Myiotheretes fumigatus,Smoky Bush-tyrant
Loxigilla barbadensis,Barbados Bullfinch
Phigys solitarius,Collared Lory
Dryocopus lineatus,Lineated Woodpecker
Lalage sueurii,White-shouldered Triller
Myiagra oceanica,Oceanic Flycatcher
Dryocopus schulzi,Black-bodied Woodpecker
Psittirostra psittacea,Ou
Francolinus griseostriatus,Grey-striped Francolin
Francolinus jacksoni,Jackson's Francolin
Emberiza cioides,Meadow Bunting
Paroaria coronata,Red-crested Cardinal
Corvus hawaiiensis,Hawaiian Crow
Lalage tricolor,White-winged Triller
Acrocephalus gracilirostris,Lesser Swamp-warbler
Pycnonotus nigricans,Black-fronted Bulbul
Tangara schrankii,Green-and-gold Tanager
Agriornis montanus,Black-billed Shrike-tyrant
Stachyris pyrrhops,Black-chinned Babbler
Zimmerius villarejoi,Mishana Tyrannulet
Rhynchostruthus percivali,Arabian Grosbeak
Spelaeornis chocolatinus,Long-tailed Wren-babbler
Pteroglossus castanotis,Chestnut-eared Aracari
Pteroglossus pluricinctus,Many-banded Aracari
Pycnonotus capensis,Cape Bulbul
Trochilus polytmus,Red-billed Streamertail
Trochilus scitulus,Black-billed Streamertail
Ortalis cinereiceps,Grey-headed Chachalaca
Rhynchostruthus louisae,Somali Grosbeak
Carduelis chloris,European Greenfinch
Knipolegus franciscanus,Brazilian Black-tyrant
Charmosyna rubronotata,Red-fronted Lorikeet
Tangara johannae,Blue-whiskered Tanager
Oreomanes fraseri,Giant Conebill
Myiagra azureocapilla,Blue-crested Flycatcher
Megalaima faber,Chinese Barbet
Dryocopus galeatus,Helmeted Woodpecker
Cisticola brachypterus,Siffling Cisticola
Herpsilochmus dugandi,Dugand's Antwren
Colaptes melanochloros,Green-barred Woodpecker
Falco biarmicus,Lanner Falcon
Agriornis albicauda,White-tailed Shrike-tyrant
Hypsipetes borbonicus,Olivaceous Bulbul
Cyanophaia bicolor,Blue-headed Hummingbird
Myiotheretes striaticollis,Streak-throated Bush-tyrant
Francolinus rufopictus,Grey-breasted Spurfowl
Spelaeornis troglodytoides,Bar-winged Wren-babbler
Lepidothrix coeruleocapilla,Cerulean-capped Manakin
Sturnus sinensis,White-shouldered Starling
Cettia diphone,Japanese Bush-warbler
Colaptes rivolii,Crimson-mantled Woodpecker
Telespiza ultima,Nihoa Finch
Telespiza cantans,Laysan Finch
Campethera cailliautii,Green-backed Woodpecker
Parotia lawesii,Lawes's Parotia
Parotia helenae,Eastern Parotia
Herpsilochmus gentryi,Ancient Antwren
Chloephaga poliocephala,Ashy-headed Goose
Francolinus ahantensis,Ahanta Francolin
Mimus graysoni,Socorro Mockingbird
Cacicus microrhynchus,Scarlet-rumped Cacique
Alcippe formosana,Taiwan Fulvetta
Stachyris pygmaea,Visayan Pygmy Babbler
Terpsiphone viridis,African Paradise-flycatcher
Archilochus colubris,Ruby-throated Hummingbird
Archilochus alexandri,Black-chinned Hummingbird
Glossopsitta concinna,Musk Lorikeet
Mimus saturninus,Chalk-browed Mockingbird
Spelaeornis reptatus,Grey-bellied Wren-babbler
Veniliornis kirkii,Red-rumped Woodpecker
Picus viridis,Eurasian Green Woodpecker
Turdus ruficollis,Dark-throated Thrush
Emberiza godlewskii,Godlewski's Bunting
Lagonosticta virata,Mali Firefinch
Anthus petrosus,Rock Pipit
Stachyris nigrorum,Negros Striped-babbler
Nigrita luteifrons,Pale-fronted Negrofinch
Chloephaga picta,Upland Goose
Coracina larvata,Sunda Cuckooshrike
Turdus naumanni,Dusky Thrush
Picus vaillantii,Levaillant's Woodpecker
Dendroica fusca,Blackburnian Warbler
Polyplectron inopinatum,Mountain Peacock-pheasant
Dryocopus hodgei,Andaman Woodpecker
Paradoxornis webbianus,Vinous-throated Parrotbill
Syrmaticus ellioti,Elliot's Pheasant
Syrmaticus humiae,Hume's Pheasant
Dendroica dominica,Yellow-throated Warbler
Agapornis lilianae,Lilian's Lovebird
Agapornis nigrigenis,Black-cheeked Lovebird
Anthus spinoletta,Water Pipit
Cyanocorax luxuosus,Green Jay
Paradoxornis alphonsianus,Ashy-throated Parrotbill
Lepidothrix iris,Opal-crowned Manakin
Rimator pasquieri,White-throated Wren-babbler
Chiroxiphia caudata,Swallow-tailed Manakin
Spelaeornis oatesi,Chin Hills Wren-babbler
Primolius couloni,Blue-headed Macaw
Charmosyna placentis,Red-flanked Lorikeet
Conirostrum bicolor,Bicoloured Conebill
Nigrita fusconotus,White-breasted Negrofinch
Spelaeornis kinneari,Pale-throated Wren-babbler
Francolinus nobilis,Handsome Francolin
Garrulax pectoralis,Greater Necklaced Laughingthrush
Dacnis cayana,Blue Dacnis
Curaeus curaeus,Austral Blackbird
Curaeus forbesi,Forbes's Blackbird
Bangsia edwardsi,Moss-backed Tanager
Bangsia aureocincta,Gold-ringed Tanager
Thamnophilus multistriatus,Bar-crested Antshrike
Contopus cinereus,Tropical Pewee
Psittacula finschii,Grey-headed Parakeet
Psittacula himalayana,Slaty-headed Parakeet
Picus xanthopygaeus,Streak-throated Woodpecker
Conirostrum margaritae,Pearly-breasted Conebill
Rimator albostriatus,Sumatran Wren-babbler
Francolinus swierstrai,Swierstra's Francolin
Apalis alticola,Brown-headed Apalis
Seicercus castaniceps,Chestnut-crowned Warbler
Seicercus grammiceps,Sunda Warbler
Cyornis rufigastra,Mangrove Blue-flycatcher
Pipra rubrocapilla,Red-headed Manakin
Hemispingus melanotis,Black-eared Hemispingus
Hemispingus frontalis,Oleaginous Hemispingus
Poospiza ornata,Cinnamon Warbling-finch
Apalis cinerea,Grey Apalis
Poospiza boliviana,Bolivian Warbling-finch
Terpsiphone paradisi,Asian Paradise-flycatcher
Spelaeornis formosus,Spotted Wren-babbler
Myiagra ruficollis,Broad-billed Flycatcher
Copsychus sechellarum,Seychelles Magpie-robin
Contopus sordidulus,Western Wood-pewee
Erythrura psittacea,Red-throated Parrotfinch
Spelaeornis longicaudatus,Tawny-breasted Wren-babbler
Dendragapus obscurus,Dusky Grouse
Dendragapus fuliginosus,Sooty Grouse
Garrulax milnei,Red-tailed Laughingthrush
Cyanocorax cristatellus,Curl-crested Jay
Cyanocorax cyanomelas,Purplish Jay
Stachyris striata,Luzon Striped-babbler
Psittacella brehmii,Brehm's Tiger-parrot
Stachyris nigricollis,Black-throated Babbler
Picoides albolarvatus,White-headed Woodpecker
Spelaeornis caudatus,Rufous-throated Wren-babbler
Pipra filicauda,Wire-tailed Manakin
Dacnis venusta,Scarlet-thighed Dacnis
Garrulax davidi,Plain Laughingthrush
Sicalis olivascens,Greenish Yellow-finch
Myiagra galeata,Dark-grey Flycatcher
Rimator malacoptilus,Long-billed Wren-babbler
Lepidothrix suavissima,Orange-bellied Manakin
Myiagra atra,Biak Flycatcher
Psittacella picta,Painted Tiger-parrot
Psittacella madaraszi,Madarasz's Tiger-parrot
Ortalis vetula,Plain Chachalaca
Dryocopus javensis,White-bellied Woodpecker
Psittacella modesta,Modest Tiger-parrot
Ortalis leucogastra,White-bellied Chachalaca
Centrocercus urophasianus,Greater Sage-grouse
Centrocercus minimus,Gunnison Sage-grouse
Herpsilochmus pileatus,Bahia Antwren
Paradisaea rubra,Red Bird-of-paradise
Automolus ochrolaemus,Buff-throated Foliage-gleaner
Xenornis setifrons,Spiny-faced Antshrike
Cyanocorax sanblasianus,San Blas Jay
Rhinomyias ruficauda,Rufous-tailed Jungle-flycatcher
Erythrura cyaneovirens,Red-headed Parrotfinch
Chiroxiphia pareola,Blue-backed Manakin
Catharus bicknelli,Bicknell's Thrush
Oreotrochilus estella,Andean Hillstar
Tangara cyanoptera,Black-headed Tanager
Erythrura pealii,Fiji Parrotfinch
Parmoptila rubrifrons,Red-fronted Antpecker
Siptornopsis hypochondriaca,Great Spinetail
Conirostrum sitticolor,Blue-backed Conebill
Picus rabieri,Red-collared Woodpecker
Cyanocorax beecheii,Purplish-backed Jay
Malimbus ballmanni,Gola Malimbe
Crossoptilon harmani,Tibetan Eared-pheasant
Turdus nigriceps,Slaty Thrush
Erythrura viridifacies,Green-faced Parrotfinch
Cypsnagra hirundinacea,White-rumped Tanager
Erythrura hyperythra,Tawny-breasted Parrotfinch
Ara macao,Scarlet Macaw
Francolinus camerunensis,Mount Cameroon Francolin
Tangara preciosa,Chestnut-backed Tanager
Malimbus ibadanensis,Ibadan Malimbe
Francolinus swainsonii,Swainson's Spurfowl
Colaptes pitius,Chilean Flicker
Actinodura nipalensis,Hoary-throated Barwing
Hypsipetes parvirostris,Comoro Bulbul
Ara chloropterus,Red-and-green Macaw
Tangara rufigula,Rufous-throated Tanager
Tadorna tadorna,Common Shelduck
Atlapetes personatus,Tepui Brush-finch
Malimbus racheliae,Rachel's Malimbe
Trichastoma celebense,Sulawesi Babbler
Hypsipetes leucocephalus,Asian Black Bulbul
Parmoptila jamesoni,Jameson's Antpecker
Malimbus erythrogaster,Red-bellied Malimbe
Spelaeornis badeigularis,Rusty-throated Wren-babbler
Colaptes rupicola,Andean Flicker
Parmoptila woodhousei,Woodhouse's Antpecker
Trichastoma buettikoferi,Sumatran Babbler
Rhinomyias umbratilis,Grey-chested Jungle-flycatcher
Myiagra vanikorensis,Vanikoro Flycatcher
Malimbus scutatus,Red-vented Malimbe
Trichastoma pyrrogenys,Temminck's Babbler
Serinus scotops,Forest Canary
Myiagra cervinicauda,Makira Flycatcher
Malimbus coronatus,Red-crowned Malimbe
Erythrura papuana,Papuan Parrotfinch
Chalcopsitta atra,Black Lory
Erythrura kleinschmidti,Pink-billed Parrotfinch
Leonardina woodi,Bagobo Babbler
Malimbus rubricollis,Red-headed Malimbe
Penelope superciliaris,Rusty-margined Guan
Malimbus nitens,Gray's Malimbe
Anthracothorax prevostii,Green-breasted Mango
Anthracothorax veraguensis,Veraguan Mango
Malimbus cassini,Black-throated Malimbe
Garrulax affinis,Black-faced Laughingthrush
Atlapetes terborghi,Vilcabamba Brush-finch
Atlapetes pallidinucha,Pale-naped Brush-finch
Erythrura coloria,Red-eared Parrotfinch
Diglossa mystacalis,Moustached Flowerpiercer
Sarcops calvus,Coleto
Myiagra erythrops,Mangrove Flycatcher
Malimbus malimbicus,Crested Malimbe
Colluricincla tenebrosa,Morningbird
Catharacta skua,Great Skua
Stercorarius pomarinus,Pomarine Jaeger
Campephilus robustus,Robust Woodpecker
Tangara guttata,Speckled Tanager
Myiagra albiventris,Samoan Flycatcher
Loriculus catamene,Sangihe Hanging-parrot
Trichastoma tickelli,Buff-breasted babbler
Acrocephalus arundinaceus,Great Reed-warbler
Knipolegus hudsoni,Hudson's Black-tyrant
Cryptospiza jacksoni,Dusky Crimson-wing
Francolinus leucoscepus,Yellow-necked Spurfowl
Cryptospiza salvadorii,Abyssinian Crimson-wing
Lepidothrix vilasboasi,Golden-crowned Manakin
Sternoclyta cyanopectus,Violet-chested Hummingbird
Lophotriccus vitiosus,Double-banded Pygmy-tyrant
Hemitriccus zosterops,White-eyed Tody-tyrant
Erythrura regia,Royal Parrotfinch
Hemitriccus griseipectus,White-bellied Tody-tyrant
Hylocharis sapphirina,Rufous-throated Sapphire
Mimus patagonicus,Patagonian Mockingbird
Mimus thenca,Chilean Mockingbird
Conirostrum albifrons,Capped Conebill
Pycnonotus taivanus,Taiwan Bulbul
Pycnonotus sinensis,Light-vented Bulbul
Trichastoma bicolor,Ferruginous Babbler
Ara rubrogenys,Red-fronted Macaw
Ara militaris,Military Macaw
Myiagra pluto,Pohnpei Flycatcher
Garrulax lunulatus,Barred Laughingthrush
Francolinus harwoodi,Harwood's Francolin
Hylocharis chrysura,Gilded Hummingbird
Neolalage banksiana,Buff-bellied Monarch
Anas querquedula,Garganey
Atlapetes seebohmi,Bay-crowned Brush-finch
Corvus woodfordi,White-billed Crow
Francolinus clappertoni,Clapperton's Francolin
Agelaius assimilis,Red-shouldered Blackbird
Corvus tasmanicus,Forest Raven
Charmosyna pulchella,Fairy Lorikeet
Cacicus koepckeae,Selva Cacique
Trichastoma rostratum,White-chested Babbler
Ara ambiguus,Great Green Macaw
Lagonosticta landanae,Pale-billed Firefinch
Knipolegus striaticeps,Cinereous Tyrant
Carduelis spinus,Eurasian Siskin
Carduelis pinus,Pine Siskin
Atlapetes leucopis,White-rimmed Brush-finch
Pomatorhinus erythrogenys,Rusty-cheeked Scimitar-babbler
Crax alector,Black Curassow
Crax fasciolata,Bare-faced Curassow
Atlapetes melanolaemus,Black-faced Brush-finch
Serinus albogularis,White-throated Canary
Pomatorhinus hypoleucos,Large Scimitar-babbler
Atlapetes nationi,Rusty-bellied Brush-finch
Aplonis grandis,Brown-winged Starling
Corvus meeki,Bougainville Crow
Vestiaria coccinea,Iiwi
Sphenocichla humei,Blackish-breasted Babbler
Sphenocichla roberti,Chevron-breasted Babbler
Lepidothrix isidorei,Blue-rumped Manakin
Atlapetes forbesi,Apurimac Brush-finch
Xiphorhynchus erythropygius,Spotted Woodcreeper
Xiphorhynchus triangularis,Olive-backed Woodcreeper
Tangara chilensis,Paradise Tanager
Lanius ludovicianus,Loggerhead Shrike
Himatione sanguinea,Apapane
Amazona brasiliensis,Red-tailed Amazon
Atlapetes leucopterus,White-winged Brush-finch
Myiagra caledonica,Melanesian Flycatcher
Pteroglossus torquatus,Collared Aracari
Pteroglossus frantzii,Fiery-billed Aracari
Eupherusa nigriventris,Black-bellied Hummingbird
Eupherusa eximia,Stripe-tailed Hummingbird
Amazilia violiceps,Violet-crowned Hummingbird
Platycercus caledonicus,Green Rosella
Platycercus elegans,Crimson Rosella
Phrygilus patagonicus,Patagonian Sierra-finch
Amazona guildingii,St Vincent Amazon
Charmosyna amabilis,Red-throated Lorikeet
Aratinga euops,Cuban Parakeet
Acrocephalus newtoni,Madagascar Swamp-warbler
Mitu salvini,Salvin's Curassow
Corvus enca,Slender-billed Crow
Corvus corone,Carrion Crow
Corvus macrorhynchos,Large-billed Crow
Acrocephalus sechellensis,Seychelles Warbler
Charmosyna palmarum,Palm Lorikeet
Heterophasia capistrata,Rufous Sibia
Falco rusticolus,Gyr Falcon
Xiphorhynchus spixii,Spix's Woodcreeper
Xiphorhynchus elegans,Elegant Woodcreeper
Serinus reichardi,Reichard's Seedeater
Basileuterus chlorophrys,Choco Warbler
Garrulax vassali,White-cheeked Laughingthrush
Eunymphicus cornutus,Horned Parakeet
Eunymphicus uvaeensis,Uvea Parakeet
Synallaxis cinerascens,Grey-bellied Spinetail
Knipolegus aterrimus,White-winged Black-tyrant
Charmosyna toxopei,Blue-fronted Lorikeet
Penelope argyrotis,Band-tailed Guan
Psarocolius wagleri,Chestnut-headed Oropendola
Corvus kubaryi,Mariana Crow
Pomatorhinus horsfieldii,Indian Scimitar-babbler
Myiotheretes fuscorufus,Rufous-bellied Bush-tyrant
Atlapetes albofrenatus,Moustached Brush-finch
Hemitriccus minor,Snethlage's Tody-tyrant
Myiotheretes pernix,Santa Marta Bush-tyrant
Atlapetes fuscoolivaceus,Dusky-headed Brush-finch
Corvus torquatus,Collared Crow
Dendrocolaptes picumnus,Black-banded Woodcreeper
Charmosyna wilhelminae,Pygmy Lorikeet
Charmosyna meeki,Meek's Lorikeet
Sterna sumatrana,Black-naped Tern
Picoides nuttallii,Nuttall's Woodpecker
Terpsiphone smithii,Annobon Paradise Flycatcher
Charmosyna josefinae,Josephine's Lorikeet
Picoides scalaris,Ladder-backed Woodpecker
Margarornis squamiger,Pearled Treerunner
Margarornis bellulus,Beautiful Treerunner
Charmosyna rubrigularis,Red-chinned Lorikeet
Aratinga pertinax,Brown-throated Parakeet
Thalurania furcata,Fork-tailed Woodnymph
Terpsiphone mutata,Madagascar Paradise-flycatcher
Atlapetes flaviceps,Yellow-headed Brush-finch
Atlapetes albiceps,White-headed Brush-finch
Chiroxiphia lanceolata,Lance-tailed Manakin
Uraeginthus angolensis,Blue-breasted Cordonbleu
Crossoptilon crossoptilon,White Eared-pheasant
Loriculus beryllinus,Sri Lanka Hanging-parrot
Atlapetes melanocephalus,Santa Marta Brush-finch
Dendrocolaptes platyrostris,Planalto Woodcreeper
Chlorostilbon poortmani,Short-tailed Emerald
Aplonis insularis,Rennell Starling
Aratinga chloroptera,Hispaniolan Parakeet
Euplectes gierowii,Black Bishop
Atlapetes canigenis,Grey Brush-finch
Phrygilus gayi,Grey-hooded Sierra-finch
Corvus palmarum,Palm Crow
Corvus moneduloides,New Caledonian Crow
Aratinga aurea,Peach-fronted Parakeet
Campephilus gayaquilensis,Guayaquil Woodpecker
Charmosyna multistriata,Striated Lorikeet
Campephilus melanoleucos,Crimson-crested Woodpecker
Falco jugger,Laggar Falcon
Terpsiphone corvina,Seychelles Paradise-flycatcher
Dacnis albiventris,White-bellied Dacnis
Chiroxiphia boliviana,Yungas Manakin
Charmosyna diadema,New Caledonian Lorikeet
Pomatorhinus gravivox,Black-streaked Scimitar-babbler
Charmosyna margarethae,Duchess Lorikeet
Serinus whytii,Yellow-browed Seedeater
Loriculus stigmatus,Sulawesi Hanging-parrot
Knipolegus cyanirostris,Blue-billed Black-tyrant
Amazilia decora,Charming Hummingbird
Serinus striolatus,Streaky Seedeater
Lepidothrix nattereri,Snow-capped Manakin
Leptasthenura platensis,Tufted Tit-spinetail
Campethera tullbergi,Tullberg's Woodpecker
Atlapetes pallidiceps,Pale-headed Brush-finch
Chalcopsitta sintillata,Yellow-streaked Lory
Catharus fuscescens,Veery
Corvus tristis,Grey Crow
Catharus minimus,Grey-cheeked Thrush
Myiagra cyanoleuca,Satin Flycatcher
Turdus hortulorum,Grey-backed Thrush
Terpsiphone bedfordi,Bedford's Paradise-flycatcher
Chloephaga rubidiceps,Ruddy-headed Goose
Coracina holopolia,Solomons Cuckooshrike
Corvus rhipidurus,Fan-tailed Raven
Terpsiphone rufocinerea,Rufous-vented Paradise-flycatcher
Estrilda quartinia,Yellow-bellied Waxbill
Corvus unicolor,Banggai Crow
Glossopsitta pusilla,Little Lorikeet
Turdus cardis,Japanese Thrush
Falco subniger,Black Falcon
Chrysomus icterocephalus,Yellow-hooded Blackbird
Chrysomus ruficapillus,Chestnut-capped Blackbird
Serinus citrinipectus,Lemon-breasted Seedeater
Colaptes auricularis,Grey-crowned Woodpecker
Cisticola juncidis,Zitting Cisticola
Campethera caroli,Brown-eared Woodpecker
Campethera abingoni,Golden-tailed Woodpecker
Corvus ruficollis,Brown-necked Raven
Euplectes franciscanus,Orange Bishop
Falco cherrug,Saker Falcon
Estrilda melanotis,Swee Waxbill
Dacnis egregia,Yellow-tufted Dacnis
Phrygilus atriceps,Black-hooded Sierra-finch
Chloephaga hybrida,Kelp Goose
Campethera nivosa,Buff-spotted Woodpecker
Terpsiphone cyanescens,Blue Paradise-flycatcher
Aratinga wagleri,Scarlet-fronted Parakeet
Tiaris obscurus,Dull-coloured Grassquit
Tiaris fuliginosus,Sooty Grassquit
Terpsiphone rufiventer,Black-headed Paradise-flycatcher
Thraupis abbas,Yellow-winged Tanager
Terpsiphone atrocaudata,Japanese Paradise-flycatcher
Psarocolius decumanus,Crested Oropendola
Amazilia edward,Snowy-breasted Hummingbird
Corvus fuscicapillus,Brown-headed Crow
Cisticola cherina,Madagascar Cisticola
Aratinga holochlora,Green Parakeet
Knipolegus lophotes,Crested Black-tyrant
Lophozosterops squamiceps,Streaky-headed White-eye
Campephilus magellanicus,Magellanic Woodpecker
Eupherusa cyanophrys,Blue-capped Hummingbird
Corvus capensis,Cape Crow
Campethera nubica,Nubian Woodpecker
Campethera punctuligera,Fine-spotted Woodpecker
Dacnis flaviventer,Yellow-bellied Dacnis
Pomatorhinus mcclellandi,Spot-breasted Scimitar-babbler
Serinus pusillus,Fire-fronted Serin
Atlapetes semirufus,Ochre-breasted Brush-finch
Corvus validus,Long-billed Crow
Catharacta chilensis,Chilean Skua
Tangara arthus,Golden Tanager
Dacnis lineata,Black-faced Dacnis
Tyrannus forficatus,Scissor-tailed Flycatcher
Cacicus haemorrhous,Red-rumped Cacique
Saltator striatipectus,Streaked Saltator
Loxops caeruleirostris,Akekee
Loxops coccineus,Akepa
Thamnophilus ambiguus,Sooretama Slaty-antshrike
Thamnophilus stictocephalus,Natterer's Slaty-antshrike
Zoothera mendeni,Red-and-black Thrush
Zoothera erythronota,Red-backed Thrush
Aratinga canicularis,Orange-fronted Parakeet
Thamnophilus punctatus,Northern Slaty-antshrike
Quiscalus quiscula,Common Grackle
Dacnis hartlaubi,Turquoise Dacnis
Eupherusa poliocerca,White-tailed Hummingbird
Tyrannus verticalis,Western Kingbird
Dacnis viguieri,Viridian Dacnis
Chalcopsitta duivenbodei,Brown Lory
Tyrannus cubensis,Giant Kingbird
Corvus mellori,Little Raven
Corvus typicus,Piping Crow
Polyplectron chalcurum,Bronze-tailed Peacock-pheasant
Polyplectron bicalcaratum,Grey Peacock-pheasant
Leptasthenura aegithaloides,Plain-mantled Tit-spinetail
Junco insularis,Guadalupe Junco
Eutrichomyias rowleyi,Cerulean Paradise-flycatcher
Terpsiphone bourbonnensis,Mascarene Paradise-flycatcher
Aratinga brevipes,Socorro Parakeet
Knipolegus nigerrimus,Velvety Black-tyrant
Pipra fasciicauda,Band-tailed Manakin
Monarcha julianae,Black-backed Monarch
Monarcha infelix,Manus Monarch
Tyrannus niveigularis,Snowy-throated Kingbird
Corvus imparatus,Tamaulipas Crow
Knipolegus orenocensis,Riverside Tyrant
Estrilda astrild,Common Waxbill
Hypsipetes madagascariensis,Madagascar Black Bulbul
Hypsipetes olivaceus,Mauritius Black Bulbul
Penelope montagnii,Andean Guan
Mimus polyglottos,Northern Mockingbird
Dacnis nigripes,Black-legged Dacnis
Mimus gilvus,Tropical Mockingbird
Furnarius leucopus,Pale-legged Hornero
Colaptes campestris,Campo Flicker
Junco vulcani,Volcano Junco
Amazilia candida,White-bellied Emerald
Terpsiphone atrochalybeia,Sao Tome Paradise-flycatcher
Cettia annae,Palau Bush-warbler
Lophura diardi,Siamese Fireback
Penelope purpurascens,Crested Guan
Campethera maculosa,Little Green Woodpecker
Aratinga rubritorquis,Red-throated Parakeet
Dendrocolaptes hoffmannsi,Hoffmanns's Woodcreeper
Myiagra rubecula,Leaden Flycatcher
Amazilia viridifrons,Green-fronted Hummingbird
Lophura ignita,Crested Fireback
Corvus minutus,Cuban Palm Crow
Penelope jacquacu,Spix's Guan
Campylorhamphus trochilirostris,Red-billed Scythebill
Campylorhamphus procurvoides,Curve-billed Scythebill
Colaptes punctigula,Spot-breasted Woodpecker
Amazona barbadensis,Yellow-shouldered Amazon
Basileuterus ignotus,Pirre Warbler
Thamnophilus nigrocinereus,Blackish-grey Antshrike
Thamnophilus cryptoleucus,Castelnau's Antshrike
Francolinus levaillantoides,Orange River Francolin
Francolinus levaillantii,Red-winged Francolin
Pipra aureola,Crimson-hooded Manakin
Catharacta maccormicki,South Polar Skua
Pomatorhinus melanurus,Sri Lanka Scimitar-babbler
Campethera notata,Knysna Woodpecker
Catharacta antarctica,Southern Skua
Leptasthenura andicola,Andean Tit-spinetail
Campethera scriptoricauda,Speckle-throated Woodpecker
Upucerthia dumetaria,Scale-throated Earthcreeper
Diglossa baritula,Cinnamon-bellied Flowerpiercer
Diglossa plumbea,Slaty Flowerpiercer
Corvus edithae,Somali Crow
Corvus bennetti,Little Crow
Corvus leucognaphalus,White-necked Crow
Corvus splendens,House Crow
Branta sandvicensis,Hawaiian Goose
Branta canadensis,Canada Goose
Xiphorhynchus ocellatus,Ocellated Woodcreeper
Xiphorhynchus pardalotus,Chestnut-rumped Woodcreeper
Upucerthia saturatior,Patagonian Forest Earthcreeper
Chlorostilbon melanorhynchus,Western Emerald
Campethera bennettii,Bennett's Woodpecker
Dacnis berlepschi,Scarlet-breasted Dacnis
Melospiza lincolnii,Lincoln's Sparrow
Melospiza georgiana,Swamp Sparrow
Emberiza citrinella,Yellowhammer
Emberiza leucocephalos,Pine Bunting
Pipra erythrocephala,Golden-headed Manakin
Pipra mentalis,Red-capped Manakin
Carduelis dominicensis,Antillean Siskin
Myiagra ferrocyanea,Steel-blue Flycatcher
Erythrura trichroa,Blue-faced Parrotfinch
Corvus sinaloae,Sinaloa Crow
Aratinga finschi,Crimson-fronted Parakeet
Molothrus oryzivorus,Giant Cowbird
Larus genei,Slender-billed Gull
Stachyris capitalis,Rusty-crowned Babbler
Synallaxis ruficapilla,Rufous-capped Spinetail
Tyrannus albogularis,White-throated Kingbird
Stachyris dennistouni,Golden-crowned Babbler
Automolus melanopezus,Brown-rumped Foliage-gleaner
Upucerthia albigula,White-throated Earthcreeper
Erythrura tricolor,Tricoloured Parrotfinch
Icterus leucopteryx,Jamaican Oriole
Knipolegus poecilocercus,Amazonian Black-tyrant
Euplectes ardens,Red-collared Widowbird
Ortalis ruficauda,Rufous-vented Chachalaca
Ortalis garrula,Chestnut-winged Chachalaca
Amazilia cyanura,Blue-tailed Hummingbird
Automolus rufipileatus,Chestnut-crowned Foliage-gleaner
Calypte anna,Anna's Hummingbird
Calypte costae,Costa's Hummingbird
Cettia seebohmi,Philippine Bush-warbler
Aratinga mitrata,Mitred Parakeet
Anas capensis,Cape Teal
Lanio aurantius,Black-throated Shrike-tanager
Lanio leucothorax,White-throated Shrike-tanager
Basileuterus griseiceps,Grey-headed Warbler
Coracina melanoptera,Black-headed Cuckooshrike
Aratinga cactorum,Cactus Parakeet
Hemispingus goeringi,Slaty-backed Hemispingus
Vireo solitarius,Blue-headed Vireo
Poospiza torquata,Ringed Warbling-finch
Larus philadelphia,Bonaparte's Gull
Aratinga erythrogenys,Red-masked Parakeet
Campethera mombassica,Mombasa Woodpecker
