ScientificNameV3,CommonNameV3,FamilyV3,ScientificName2023,CommonName2023,Family2023
Ploceus galbula,Rueppell's Weaver,Ploceidae,Ploceus galbula,Rüppell's Weaver,Ploceidae
Ploceus vitellinus,Vitelline Masked-weaver,Ploceidae,,,
,,,Ploceus vitellinus,Vitelline Masked-Weaver,Ploceidae
Ploceus ruweti,Lake Lufira Weaver,Ploceidae,Ploceus ruweti,Lake Lufira Masked-Weaver,Ploceidae
Ploceus reichardi,Tanzania Masked-weaver,Ploceidae,Ploceus reichardi,Tanganyika Masked-Weaver,Ploceidae
Ploceus nigerrimus,Vieillot's Black Weaver,Ploceidae,,,
,,,Ploceus nigerrimus,Vieillot's Black Weaver,Ploceidae
,,,Ploceus castaneofuscus,Chestnut-and-black Weaver,Ploceidae
Ploceus megarhynchus,Yellow Weaver,Ploceidae,Ploceus megarhynchus,Finn's Weaver,Ploceidae
Ploceus superciliosus,Compact Weaver,Ploceidae,Pachyphantes superciliosus,Compact Weaver,Ploceidae
Malimbus ballmanni,Gola Malimbe,Ploceidae,Malimbus ballmanni,Ballman's Malimbe,Ploceidae
Malimbus nitens,Gray's Malimbe,Ploceidae,Malimbus nitens,Blue-billed Malimbe,Ploceidae
Anaplectes rubriceps,Red-headed Weaver,Ploceidae,,,
,,,Anaplectes rubriceps,Red-headed Weaver,Ploceidae
,,,Anaplectes jubaensis,Red Weaver,Ploceidae
Foudia madagascariensis,Madagascar Red Fody,Ploceidae,Foudia madagascariensis,Red Fody,Ploceidae
Foudia eminentissima,Red-headed Fody,Ploceidae,,,
,,,Foudia eminentissima,Red-headed Fody,Ploceidae
,,,Foudia aldabrana,Aldabra Fody,Ploceidae
Euplectes franciscanus,Orange Bishop,Ploceidae,Euplectes franciscanus,Northern Red Bishop,Ploceidae
Euplectes orix,Red Bishop,Ploceidae,Euplectes orix,Southern Red Bishop,Ploceidae
Euplectes nigroventris,Zanzibar Bishop,Ploceidae,Euplectes nigroventris,Zanzibar Red Bishop,Ploceidae
Euplectes macroura,Yellow-shouldered Widowbird,Ploceidae,Euplectes macroura,Yellow-mantled Widowbird,Ploceidae
Euplectes ardens,Red-collared Widowbird,Ploceidae,,,
,,,Euplectes ardens,Red-collared Widowbird,Ploceidae
,,,Euplectes laticauda,Red-cowled Widowbird,Ploceidae
Euplectes psammocromius,Buff-shouldered Widowbird,Ploceidae,Euplectes psammacromius,Buff-shouldered Widowbird,Ploceidae
Anomalospiza imberbis,Cuckoo Finch,Viduidae,Anomalospiza imberbis,Parasitic Weaver,Viduidae
Nigrita fusconotus,White-breasted Negrofinch,Estrildidae,Nigrita fusconotus,White-breasted Nigrita,Estrildidae
Nigrita bicolor,Chestnut-breasted Negrofinch,Estrildidae,Nigrita bicolor,Chestnut-breasted Nigrita,Estrildidae
Nigrita luteifrons,Pale-fronted Negrofinch,Estrildidae,Nigrita luteifrons,Pale-fronted Nigrita,Estrildidae
Nigrita canicapillus,Grey-headed Negrofinch,Estrildidae,Nigrita canicapillus,Gray-headed Nigrita,Estrildidae
Nesocharis shelleyi,Fernando Po Oliveback,Estrildidae,Nesocharis shelleyi,Shelley's Oliveback,Estrildidae
Nesocharis capistrata,White-cheeked Oliveback,Estrildidae,Delacourella capistrata,Gray-headed Oliveback,Estrildidae
Pytilia phoenicoptera,Red-winged Pytilia,Estrildidae,,,
,,,Pytilia phoenicoptera,Red-winged Pytilia,Estrildidae
,,,Pytilia lineata,Red-billed Pytilia,Estrildidae
Cryptospiza reichenovii,Red-faced Crimson-wing,Estrildidae,Cryptospiza reichenovii,Red-faced Crimsonwing,Estrildidae
Cryptospiza salvadorii,Abyssinian Crimson-wing,Estrildidae,Cryptospiza salvadorii,Abyssinian Crimsonwing,Estrildidae
Cryptospiza jacksoni,Dusky Crimson-wing,Estrildidae,Cryptospiza jacksoni,Dusky Crimsonwing,Estrildidae
Cryptospiza shelleyi,Shelley's Crimson-wing,Estrildidae,Cryptospiza shelleyi,Shelley's Crimsonwing,Estrildidae
,,,Lagonosticta rubricata,African Firefinch,Estrildidae
Lagonosticta rubricata,African Firefinch,Estrildidae,,,
Lagonosticta landanae,Pale-billed Firefinch,Estrildidae,,,
,,,Lagonosticta umbrinodorsalis,Reichenow's Firefinch,Estrildidae
Lagonosticta rhodopareia,Jameson's Firefinch,Estrildidae,,,
,,,Lagonosticta rhodopareia,Jameson's Firefinch,Estrildidae
Lagonosticta larvata,Black-throated Firefinch,Estrildidae,Lagonosticta larvata,Black-faced Firefinch,Estrildidae
Uraeginthus angolensis,Blue-breasted Cordonbleu,Estrildidae,Uraeginthus angolensis,Southern Cordonbleu,Estrildidae
Uraeginthus ianthinogaster,Purple Grenadier,Estrildidae,Granatina ianthinogaster,Purple Grenadier,Estrildidae
Uraeginthus granatinus,Common Grenadier,Estrildidae,Granatina granatina,Violet-eared Waxbill,Estrildidae
Estrilda caerulescens,Lavender Waxbill,Estrildidae,Glaucestrilda caerulescens,Lavender Waxbill,Estrildidae
Estrilda perreini,Black-tailed Waxbill,Estrildidae,Glaucestrilda perreini,Black-tailed Waxbill,Estrildidae
Estrilda thomensis,Cinderella Waxbill,Estrildidae,Glaucestrilda thomensis,Cinderella Waxbill,Estrildidae
,,,Coccopygia quartinia,Yellow-bellied Waxbill,Estrildidae
Estrilda melanotis,Swee Waxbill,Estrildidae,,,
,,,Coccopygia melanotis,Swee Waxbill,Estrildidae
,,,Coccopygia bocagei,Angola Waxbill,Estrildidae
Estrilda atricapilla,Black-headed Waxbill,Estrildidae,,,
,,,Estrilda atricapilla,Black-headed Waxbill,Estrildidae
,,,Estrilda kandti,Kandt's Waxbill,Estrildidae
Estrilda charmosyna,Red-rumped Waxbill,Estrildidae,Brunhilda charmosyna,Black-cheeked Waxbill,Estrildidae
Estrilda erythronotos,Black-cheeked Waxbill,Estrildidae,Brunhilda erythronotos,Black-faced Waxbill,Estrildidae
Ortygospiza locustella,Locust Finch,Estrildidae,Paludipasser locustella,Locustfinch,Estrildidae
Emblema pictum,Painted Finch,Estrildidae,Emblema pictum,Painted Firetail,Estrildidae
Neochmia temporalis,Red-browed Finch,Estrildidae,Neochmia temporalis,Red-browed Firetail,Estrildidae
Neochmia ruficauda,Star Finch,Estrildidae,Bathilda ruficauda,Star Finch,Estrildidae
Neochmia modesta,Plum-headed Finch,Estrildidae,Aidemosyne modesta,Plum-headed Finch,Estrildidae
Taeniopygia bichenovii,Double-barred Finch,Estrildidae,Stizoptera bichenovii,Double-barred Finch,Estrildidae
Erythrura tricolor,Tricoloured Parrotfinch,Estrildidae,Erythrura tricolor,Tricolored Parrotfinch,Estrildidae
,,,Erythrura cyaneovirens,Royal Parrotfinch,Estrildidae
Erythrura cyaneovirens,Red-headed Parrotfinch,Estrildidae,,,
Erythrura regia,Royal Parrotfinch,Estrildidae,,,
Erythrura gouldiae,Gouldian Finch,Estrildidae,Chloebia gouldiae,Gouldian Finch,Estrildidae
Lonchura nana,Madagascar Munia,Estrildidae,Lepidopygia nana,Madagascar Munia,Estrildidae
Lonchura cantans,African Silverbill,Estrildidae,Euodice cantans,African Silverbill,Estrildidae
Lonchura malabarica,White-throated Munia,Estrildidae,Euodice malabarica,Indian Silverbill,Estrildidae
Lonchura griseicapilla,Grey-headed Silverbill,Estrildidae,Spermestes griseicapilla,Gray-headed Silverbill,Estrildidae
Lonchura cucullata,Bronze Munia,Estrildidae,Spermestes cucullata,Bronze Mannikin,Estrildidae
,,,Spermestes bicolor,Black-and-white Mannikin,Estrildidae
Lonchura bicolor,Black-and-white Munia,Estrildidae,,,
Lonchura nigriceps,Brown-backed Munia,Estrildidae,,,
Lonchura fringilloides,Magpie Munia,Estrildidae,Spermestes fringilloides,Magpie Mannikin,Estrildidae
Lonchura tristissima,Streak-headed Munia,Estrildidae,Mayrimunia tristissima,Streak-headed Munia,Estrildidae
Lonchura leucosticta,White-spotted Munia,Estrildidae,Mayrimunia leucosticta,White-spotted Munia,Estrildidae
Lonchura malacca,Tricoloured Munia,Estrildidae,,,
,,,Lonchura malacca,Tricolored Munia,Estrildidae
,,,Lonchura atricapilla,Chestnut Munia,Estrildidae
Lonchura atricapilla,Chestnut Munia,Estrildidae,,,
Lonchura quinticolor,Five-coloured Munia,Estrildidae,Lonchura quinticolor,Five-colored Munia,Estrildidae
Lonchura vana,Grey-banded Munia,Estrildidae,Lonchura vana,Gray-banded Munia,Estrildidae
Lonchura caniceps,Grey-headed Munia,Estrildidae,Lonchura caniceps,Gray-headed Munia,Estrildidae
Lonchura nevermanni,Grey-crowned Munia,Estrildidae,Lonchura nevermanni,Gray-crowned Munia,Estrildidae
Vidua codringtoni,Twinspot Indigobird,Viduidae,Vidua codringtoni,Green Indigobird,Viduidae
Vidua purpurascens,Dusky Indigobird,Viduidae,Vidua purpurascens,Purple Indigobird,Viduidae
Vidua wilsoni,Pale-winged Indigobird,Viduidae,Vidua wilsoni,Wilson's Indigobird,Viduidae
Vidua regia,Queen Whydah,Viduidae,Vidua regia,Shaft-tailed Whydah,Viduidae
,,,Vidua orientalis,Sahel Paradise-Whydah,Viduidae
Vidua interjecta,Long-tailed Paradise-whydah,Viduidae,Vidua interjecta,Exclamatory Paradise-Whydah,Viduidae
,,,Vidua paradisaea,Eastern Paradise-Whydah,Viduidae
Vidua paradisaea,Eastern Paradise-whydah,Viduidae,,,
Fringilla coelebs,Eurasian Chaffinch,Fringillidae,,,
,,,Fringilla coelebs,Common Chaffinch,Fringillidae
,,,Fringilla moreletti,Azores Chaffinch,Fringillidae
,,,Fringilla maderensis,Madeira Chaffinch,Fringillidae
,,,Fringilla canariensis,Canary Islands Chaffinch,Fringillidae
,,,Fringilla spodiogenys,African Chaffinch,Fringillidae
Fringilla teydea,Blue Chaffinch,Fringillidae,,,
,,,Fringilla teydea,Tenerife Blue Chaffinch,Fringillidae
,,,Fringilla polatzeki,Gran Canaria Blue Chaffinch,Fringillidae
Carduelis citrinella,Alpine Citril Finch,Fringillidae,Carduelis citrinella,Citril Finch,Fringillidae
Carduelis corsicana,Mediterranean Citril Finch,Fringillidae,Carduelis corsicana,Corsican Finch,Fringillidae
Serinus thibetanus,Tibetan Serin,Fringillidae,Spinus thibetanus,Tibetan Serin,Fringillidae
Serinus frontalis,Yellow-browed Citril,Fringillidae,Crithagra frontalis,Western Citril,Fringillidae
Serinus citrinelloides,Abyssinian Citril,Fringillidae,Crithagra citrinelloides,African Citril,Fringillidae
Serinus hypostictus,Grey-faced Citril,Fringillidae,Crithagra hyposticta,Southern Citril,Fringillidae
Serinus capistratus,Black-faced Canary,Fringillidae,Crithagra capistrata,Black-faced Canary,Fringillidae
Serinus koliensis,Papyrus Canary,Fringillidae,Crithagra koliensis,Papyrus Canary,Fringillidae
Serinus scotops,Forest Canary,Fringillidae,Crithagra scotops,Forest Canary,Fringillidae
Serinus leucopygius,White-rumped Seedeater,Fringillidae,Crithagra leucopygia,White-rumped Seedeater,Fringillidae
Serinus rothschildi,Olive-rumped Serin,Fringillidae,Crithagra rothschildi,Olive-rumped Serin,Fringillidae
Serinus xanthopygius,Yellow-rumped Seedeater,Fringillidae,Crithagra xanthopygia,Yellow-rumped Serin,Fringillidae
Serinus flavigula,Yellow-throated Seedeater,Fringillidae,Crithagra flavigula,Yellow-throated Serin,Fringillidae
Serinus xantholaemus,Salvadori's Serin,Fringillidae,Crithagra xantholaema,Salvadori's Serin,Fringillidae
,,,Crithagra reichenowi,Reichenow's Seedeater,Fringillidae
Serinus atrogularis,Black-throated Seedeater,Fringillidae,,,
,,,Crithagra atrogularis,Black-throated Canary,Fringillidae
Serinus citrinipectus,Lemon-breasted Seedeater,Fringillidae,Crithagra citrinipectus,Lemon-breasted Seedeater,Fringillidae
Serinus mozambicus,Yellow-fronted Canary,Fringillidae,Crithagra mozambica,Yellow-fronted Canary,Fringillidae
Serinus donaldsoni,Ethiopian Grosbeak-canary,Fringillidae,Crithagra donaldsoni,Northern Grosbeak-Canary,Fringillidae
Serinus buchanani,Kenya Grosbeak-canary,Fringillidae,Crithagra buchanani,Southern Grosbeak-Canary,Fringillidae
Serinus dorsostriatus,White-bellied Canary,Fringillidae,Crithagra dorsostriata,White-bellied Canary,Fringillidae
Serinus flaviventris,Yellow Canary,Fringillidae,Crithagra flaviventris,Yellow Canary,Fringillidae
Serinus sulphuratus,Brimstone Canary,Fringillidae,Crithagra sulphurata,Brimstone Canary,Fringillidae
Serinus albogularis,White-throated Canary,Fringillidae,Crithagra albogularis,White-throated Canary,Fringillidae
,,,Crithagra canicapilla,West African Seedeater,Fringillidae
Serinus reichardi,Reichard's Seedeater,Fringillidae,Crithagra reichardi,Reichard's Seedeater,Fringillidae
Serinus gularis,Streaky-headed Seedeater,Fringillidae,,,
,,,Crithagra gularis,Streaky-headed Seedeater,Fringillidae
Serinus mennelli,Black-eared Seedeater,Fringillidae,Crithagra mennelli,Black-eared Seedeater,Fringillidae
Serinus tristriatus,Brown-rumped Seedeater,Fringillidae,Crithagra tristriata,Brown-rumped Seedeater,Fringillidae
Serinus menachensis,Yemen Serin,Fringillidae,Crithagra menachensis,Yemen Serin,Fringillidae
Serinus ankoberensis,Ankober Serin,Fringillidae,Crithagra ankoberensis,Ankober Serin,Fringillidae
Serinus striolatus,Streaky Seedeater,Fringillidae,Crithagra striolata,Streaky Seedeater,Fringillidae
Serinus whytii,Yellow-browed Seedeater,Fringillidae,Crithagra whytii,Yellow-browed Seedeater,Fringillidae
Serinus burtoni,Thick-billed Seedeater,Fringillidae,Crithagra burtoni,Thick-billed Seedeater,Fringillidae
Serinus rufobrunneus,Principe Seedeater,Fringillidae,Crithagra rufobrunnea,Principe Seedeater,Fringillidae
Serinus melanochrous,Kipengere Seedeater,Fringillidae,Crithagra melanochroa,Tanzania Seedeater,Fringillidae
Serinus leucopterus,Protea Canary,Fringillidae,Crithagra leucoptera,Protea Canary,Fringillidae
Serinus totta,Cape Siskin,Fringillidae,Crithagra totta,Cape Siskin,Fringillidae
Serinus symonsi,Drakensberg Siskin,Fringillidae,Crithagra symonsi,Drakensberg Siskin,Fringillidae
Serinus estherae,Mountain Serin,Fringillidae,Chrysocorythus estherae,Mountain Serin,Fringillidae
Neospiza concolor,Sao Tome Grosbeak,Fringillidae,Crithagra concolor,Sao Tome Grosbeak,Fringillidae
Carduelis chloris,European Greenfinch,Fringillidae,Chloris chloris,European Greenfinch,Fringillidae
Carduelis sinica,Grey-capped Greenfinch,Fringillidae,Chloris sinica,Oriental Greenfinch,Fringillidae
Carduelis spinoides,Yellow-breasted Greenfinch,Fringillidae,Chloris spinoides,Yellow-breasted Greenfinch,Fringillidae
Carduelis monguilloti,Vietnam Greenfinch,Fringillidae,Chloris monguilloti,Vietnamese Greenfinch,Fringillidae
Carduelis ambigua,Black-headed Greenfinch,Fringillidae,Chloris ambigua,Black-headed Greenfinch,Fringillidae
Carduelis spinus,Eurasian Siskin,Fringillidae,Spinus spinus,Eurasian Siskin,Fringillidae
Carduelis pinus,Pine Siskin,Fringillidae,Spinus pinus,Pine Siskin,Fringillidae
Carduelis atriceps,Black-capped Siskin,Fringillidae,Spinus atriceps,Black-capped Siskin,Fringillidae
Carduelis spinescens,Andean Siskin,Fringillidae,Spinus spinescens,Andean Siskin,Fringillidae
Carduelis yarrellii,Yellow-faced Siskin,Fringillidae,Spinus yarrellii,Yellow-faced Siskin,Fringillidae
Carduelis cucullata,Red Siskin,Fringillidae,Spinus cucullatus,Red Siskin,Fringillidae
Carduelis crassirostris,Thick-billed Siskin,Fringillidae,Spinus crassirostris,Thick-billed Siskin,Fringillidae
Carduelis magellanica,Hooded Siskin,Fringillidae,Spinus magellanicus,Hooded Siskin,Fringillidae
Carduelis siemiradzkii,Saffron Siskin,Fringillidae,Spinus siemiradzkii,Saffron Siskin,Fringillidae
Carduelis olivacea,Olivaceous Siskin,Fringillidae,Spinus olivaceus,Olivaceous Siskin,Fringillidae
Carduelis notata,Black-headed Siskin,Fringillidae,Spinus notatus,Black-headed Siskin,Fringillidae
Carduelis barbata,Black-chinned Siskin,Fringillidae,Spinus barbatus,Black-chinned Siskin,Fringillidae
Carduelis xanthogastra,Yellow-bellied Siskin,Fringillidae,Spinus xanthogastrus,Yellow-bellied Siskin,Fringillidae
Carduelis atrata,Black Siskin,Fringillidae,Spinus atratus,Black Siskin,Fringillidae
Carduelis uropygialis,Yellow-rumped Siskin,Fringillidae,Spinus uropygialis,Yellow-rumped Siskin,Fringillidae
Carduelis tristis,American Goldfinch,Fringillidae,Spinus tristis,American Goldfinch,Fringillidae
Carduelis psaltria,Lesser Goldfinch,Fringillidae,Spinus psaltria,Lesser Goldfinch,Fringillidae
Carduelis lawrencei,Lawrence's Goldfinch,Fringillidae,Spinus lawrencei,Lawrence's Goldfinch,Fringillidae
Carduelis dominicensis,Antillean Siskin,Fringillidae,Spinus dominicensis,Antillean Siskin,Fringillidae
Carduelis hornemanni,Hoary Redpoll,Fringillidae,Acanthis hornemanni,Hoary Redpoll,Fringillidae
Carduelis flammea,Common Redpoll,Fringillidae,,,
,,,Acanthis flammea,Common Redpoll,Fringillidae
,,,Acanthis cabaret,Lesser Redpoll,Fringillidae
Carduelis flavirostris,Twite,Fringillidae,Linaria flavirostris,Twite,Fringillidae
Carduelis cannabina,Eurasian Linnet,Fringillidae,Linaria cannabina,Eurasian Linnet,Fringillidae
Carduelis yemenensis,Yemen Linnet,Fringillidae,Linaria yemenensis,Yemen Linnet,Fringillidae
Carduelis johannis,Warsangli Linnet,Fringillidae,Linaria johannis,Warsangli Linnet,Fringillidae
Leucosticte nemoricola,Plain Mountain-finch,Fringillidae,Leucosticte nemoricola,Plain Mountain Finch,Fringillidae
Leucosticte brandti,Black-headed Mountain-finch,Fringillidae,Leucosticte brandti,Black-headed Mountain Finch,Fringillidae
Leucosticte sillemi,Sillem's Mountain-finch,Fringillidae,Carpodacus sillemi,Sillem's Rosefinch,Fringillidae
Eremopsaltria mongolicus,Mongolian Finch,Fringillidae,Bucanetes mongolicus,Mongolian Finch,Fringillidae
Rhodopechys obsoletus,Desert Finch,Fringillidae,Rhodospiza obsoleta,Desert Finch,Fringillidae
Uragus sibiricus,Long-tailed Rosefinch,Fringillidae,Carpodacus sibiricus,Long-tailed Rosefinch,Fringillidae
Carpodacus rubescens,Crimson Rosefinch,Fringillidae,Agraphospiza rubescens,Blanford's Rosefinch,Fringillidae
Carpodacus nipalensis,Dark-breasted Rosefinch,Fringillidae,Procarduelis nipalensis,Dark-breasted Rosefinch,Fringillidae
Carpodacus purpureus,Purple Finch,Fringillidae,Haemorhous purpureus,Purple Finch,Fringillidae
Carpodacus cassinii,Cassin's Finch,Fringillidae,Haemorhous cassinii,Cassin's Finch,Fringillidae
Carpodacus mexicanus,House Finch,Fringillidae,Haemorhous mexicanus,House Finch,Fringillidae
Carpodacus pulcherrimus,Beautiful Rosefinch,Fringillidae,,,
,,,Carpodacus pulcherrimus,Himalayan Beautiful Rosefinch,Fringillidae
,,,Carpodacus davidianus,Chinese Beautiful Rosefinch,Fringillidae
,,,Carpodacus waltoni,Pink-rumped Rosefinch,Fringillidae
Carpodacus eos,Pink-rumped Rosefinch,Fringillidae,,,
Carpodacus vinaceus,Vinaceous Rosefinch,Fringillidae,,,
,,,Carpodacus vinaceus,Vinaceous Rosefinch,Fringillidae
,,,Carpodacus formosanus,Taiwan Rosefinch,Fringillidae
Carpodacus synoicus,Pale Rosefinch,Fringillidae,,,
,,,Carpodacus synoicus,Sinai Rosefinch,Fringillidae
,,,Carpodacus stoliczkae,Pale Rosefinch,Fringillidae
Carpodacus rodopeplus,Spot-winged Rosefinch,Fringillidae,,,
,,,Carpodacus rodopeplus,Spot-winged Rosefinch,Fringillidae
,,,Carpodacus verreauxii,Sharpe's Rosefinch,Fringillidae
Carpodacus thura,White-browed Rosefinch,Fringillidae,,,
,,,Carpodacus thura,Himalayan White-browed Rosefinch,Fringillidae
,,,Carpodacus dubius,Chinese White-browed Rosefinch,Fringillidae
Carpodacus rhodochlamys,Red-mantled Rosefinch,Fringillidae,,,
,,,Carpodacus rhodochlamys,Red-mantled Rosefinch,Fringillidae
,,,Carpodacus grandis,Blyth's Rosefinch,Fringillidae
Chaunoproctus ferreorostris,Bonin Grosbeak,Fringillidae,Carpodacus ferreorostris,Bonin Grosbeak,Fringillidae
Pinicola subhimachala,Crimson-browed Finch,Fringillidae,Carpodacus subhimachalus,Crimson-browed Finch,Fringillidae
Haematospiza sipahi,Scarlet Finch,Fringillidae,Carpodacus sipahi,Scarlet Finch,Fringillidae
Loxia curvirostra,Red Crossbill,Fringillidae,,,
,,,Loxia curvirostra,Red Crossbill,Fringillidae
,,,Loxia sinesciuris,Cassia Crossbill,Fringillidae
Pyrrhula erythaca,Grey-headed Bullfinch,Fringillidae,,,
,,,Pyrrhula erythaca,Gray-headed Bullfinch,Fringillidae
,,,Pyrrhula owstoni,Taiwan Bullfinch,Fringillidae
Hemignathus kauaiensis,Kauai Amakihi,Fringillidae,Chlorodrepanis stejnegeri,Kauai Amakihi,Fringillidae
Hemignathus virens,Common Amakihi,Fringillidae,Chlorodrepanis virens,Hawaii Amakihi,Fringillidae
Hemignathus flavus,Oahu Amakihi,Fringillidae,Chlorodrepanis flava,Oahu Amakihi,Fringillidae
Hemignathus parvus,Anianiau,Fringillidae,Magumma parva,Anianiau,Fringillidae
Hemignathus sagittirostris,Greater Amakihi,Fringillidae,Viridonia sagittirostris,Greater Amakihi,Fringillidae
Hemignathus obscurus,Lesser Akialoa,Fringillidae,Akialoa obscura,Lesser Akialoa,Fringillidae
Hemignathus ellisianus,Greater Akialoa,Fringillidae,,,
,,,Akialoa ellisiana,Oahu Akialoa,Fringillidae
,,,Akialoa lanaiensis,Maui-nui Akialoa,Fringillidae
,,,Akialoa stejnegeri,Kauai Akialoa,Fringillidae
Hemignathus lucidus,Nukupuu,Fringillidae,,,
,,,Hemignathus lucidus,Oahu Nukupuu,Fringillidae
,,,Hemignathus affinis,Maui Nukupuu,Fringillidae
,,,Hemignathus hanapepe,Kauai Nukupuu,Fringillidae
Hemignathus munroi,Akiapolaau,Fringillidae,Hemignathus wilsoni,Akiapolaau,Fringillidae
Oreomystis mana,Hawaii Creeper,Fringillidae,Loxops mana,Hawaii Creeper,Fringillidae
Loxops coccineus,Akepa,Fringillidae,,,
,,,Loxops coccineus,Hawaii Akepa,Fringillidae
,,,Loxops wolstenholmei,Oahu Akepa,Fringillidae
,,,Loxops ochraceus,Maui Akepa,Fringillidae
Vestiaria coccinea,Iiwi,Fringillidae,Drepanis coccinea,Iiwi,Fringillidae
Himatione sanguinea,Apapane,Fringillidae,,,
,,,Himatione sanguinea,Apapane,Fringillidae
,,,Himatione fraithii,Laysan Honeycreeper,Fringillidae
Urocynchramus pylzowi,Pink-tailed Bunting,Urocynchramidae,Urocynchramus pylzowi,Przevalski's Pinktail,Urocynchramidae
Melophus lathami,Crested Bunting,Emberizidae,Emberiza lathami,Crested Bunting,Emberizidae
Latoucheornis siemsseni,Slaty Bunting,Emberizidae,Emberiza siemsseni,Slaty Bunting,Emberizidae
Emberiza buchanani,Grey-necked Bunting,Emberizidae,Emberiza buchanani,Gray-necked Bunting,Emberizidae
Emberiza stewarti,Chestnut-breasted Bunting,Emberizidae,Emberiza stewarti,White-capped Bunting,Emberizidae
Emberiza striolata,House Bunting,Emberizidae,,,
,,,Emberiza striolata,Striolated Bunting,Emberizidae
,,,Emberiza sahari,House Bunting,Emberizidae
Emberiza tahapisi,Cinnamon-breasted Bunting,Emberizidae,,,
,,,Emberiza tahapisi,Cinnamon-breasted Bunting,Emberizidae
,,,Emberiza goslingi,Gosling's Bunting,Emberizidae
Emberiza flaviventris,African Golden-breasted Bunting,Emberizidae,Emberiza flaviventris,Golden-breasted Bunting,Emberizidae
Emberiza poliopleura,Somali Golden-breasted Bunting,Emberizidae,Emberiza poliopleura,Somali Bunting,Emberizidae
Emberiza spodocephala,Black-faced Bunting,Emberizidae,,,
,,,Emberiza spodocephala,Black-faced Bunting,Emberizidae
,,,Emberiza personata,Masked Bunting,Emberizidae
Emberiza variabilis,Grey Bunting,Emberizidae,Emberiza variabilis,Gray Bunting,Emberizidae
Miliaria calandra,Corn Bunting,Emberizidae,Emberiza calandra,Corn Bunting,Emberizidae
Calcarius mccownii,McCown's Longspur,Emberizidae,Rhynchophanes mccownii,Thick-billed Longspur,Calcariidae
Calcarius lapponicus,Lapland Longspur,Emberizidae,Calcarius lapponicus,Lapland Longspur,Calcariidae
Calcarius pictus,Smith's Longspur,Emberizidae,Calcarius pictus,Smith's Longspur,Calcariidae
Calcarius ornatus,Chestnut-collared Longspur,Emberizidae,Calcarius ornatus,Chestnut-collared Longspur,Calcariidae
Plectrophenax nivalis,Snow Bunting,Emberizidae,Plectrophenax nivalis,Snow Bunting,Calcariidae
Plectrophenax hyperboreus,McKay's Bunting,Emberizidae,Plectrophenax hyperboreus,McKay's Bunting,Calcariidae
Calamospiza melanocorys,Lark Bunting,Emberizidae,Calamospiza melanocorys,Lark Bunting,Passerellidae
Passerella iliaca,Fox Sparrow,Emberizidae,Passerella iliaca,Fox Sparrow,Passerellidae
Melospiza melodia,Song Sparrow,Emberizidae,Melospiza melodia,Song Sparrow,Passerellidae
Melospiza lincolnii,Lincoln's Sparrow,Emberizidae,Melospiza lincolnii,Lincoln's Sparrow,Passerellidae
Melospiza georgiana,Swamp Sparrow,Emberizidae,Melospiza georgiana,Swamp Sparrow,Passerellidae
Zonotrichia capensis,Rufous-collared Sparrow,Emberizidae,Zonotrichia capensis,Rufous-collared Sparrow,Passerellidae
Zonotrichia querula,Harris's Sparrow,Emberizidae,Zonotrichia querula,Harris's Sparrow,Passerellidae
Zonotrichia leucophrys,White-crowned Sparrow,Emberizidae,Zonotrichia leucophrys,White-crowned Sparrow,Passerellidae
Zonotrichia albicollis,White-throated Sparrow,Emberizidae,Zonotrichia albicollis,White-throated Sparrow,Passerellidae
Zonotrichia atricapilla,Golden-crowned Sparrow,Emberizidae,Zonotrichia atricapilla,Golden-crowned Sparrow,Passerellidae
Junco vulcani,Volcano Junco,Emberizidae,Junco vulcani,Volcano Junco,Passerellidae
Junco hyemalis,Dark-eyed Junco,Emberizidae,,,
,,,Junco hyemalis,Dark-eyed Junco,Passerellidae
,,,Junco insularis,Guadalupe Junco,Passerellidae
Junco phaeonotus,Yellow-eyed Junco,Emberizidae,,,
,,,Junco phaeonotus,Yellow-eyed Junco,Passerellidae
,,,Junco bairdi,Baird's Junco,Passerellidae
Passerculus sandwichensis,Savannah Sparrow,Emberizidae,Passerculus sandwichensis,Savannah Sparrow,Passerellidae
Ammodramus maritimus,Seaside Sparrow,Emberizidae,Ammospiza maritima,Seaside Sparrow,Passerellidae
Ammodramus caudacutus,Saltmarsh Sparrow,Emberizidae,Ammospiza caudacuta,Saltmarsh Sparrow,Passerellidae
Ammodramus nelsoni,Nelson's Sparrow,Emberizidae,Ammospiza nelsoni,Nelson's Sparrow,Passerellidae
Ammodramus leconteii,Le Conte's Sparrow,Emberizidae,Ammospiza leconteii,LeConte's Sparrow,Passerellidae
Ammodramus henslowii,Henslow's Sparrow,Emberizidae,Centronyx henslowii,Henslow's Sparrow,Passerellidae
Ammodramus bairdii,Baird's Sparrow,Emberizidae,Centronyx bairdii,Baird's Sparrow,Passerellidae
Ammodramus savannarum,Grasshopper Sparrow,Emberizidae,Ammodramus savannarum,Grasshopper Sparrow,Passerellidae
Ammodramus humeralis,Grassland Sparrow,Emberizidae,Ammodramus humeralis,Grassland Sparrow,Passerellidae
Ammodramus aurifrons,Yellow-browed Sparrow,Emberizidae,Ammodramus aurifrons,Yellow-browed Sparrow,Passerellidae
Xenospiza baileyi,Sierra Madre Sparrow,Emberizidae,Xenospiza baileyi,Sierra Madre Sparrow,Passerellidae
